,doi,display_name_author_fr,display_name_author_fr_utf8
195,https://doi.org/10.1016/j.nima.2024.169201,A. Himmi,a. himmi
196,https://doi.org/10.1111/nan.12900,A. Hot,a. hot
197,https://doi.org/10.1016/j.esmoop.2024.103644,A. Hourlier,a. hourlier
198,https://doi.org/10.1002/jvc2.590,A. Huart,a. huart
199,https://doi.org/10.1002/pbc.30627,A. Huchet,a. huchet
200,https://doi.org/10.1002/pssb.202400215,A. Ibanez,a. ibanez
201,https://doi.org/10.1111/1365-2664.14581,A. J. Mark Hewison,a. j. mark hewison
202,https://doi.org/10.1002/jlcr.4128,A. J. Salle,a. j. salle
203,https://doi.org/10.1016/j.ekir.2022.03.020,A. Jalal Eddine,a. jalal eddine
204,https://doi.org/10.1002/chem.202202206,A. Jalila Simaan,a. jalila simaan
205,https://doi.org/10.1111/jdv.17974,A. Jannic,a. jannic
206,https://doi.org/10.1016/j.phacli.2024.09.003,A. Janoly-Duménil,a. janoly-dumenil
207,https://doi.org/10.1002/anie.202401368,A. Jayachandran,a. jayachandran
208,https://doi.org/10.1016/j.icarus.2024.116221,A. Jolly,a. jolly
209,https://doi.org/10.1002/admi.202201392,A. Jouan,a. jouan
210,https://doi.org/10.1016/j.apmt.2024.102303,A. Julbe,a. julbe
211,https://doi.org/10.1111/resp.14667,A. Justet,a. justet
212,https://doi.org/10.1016/j.fsir.2023.100322,A. Knapp,a. knapp
213,https://doi.org/10.1111/1471-0528.17458,A. Koch,a. koch
214,https://doi.org/10.1016/j.marpol.2024.106224,A. L. Page,a. l. page
215,https://doi.org/10.1016/j.wavemoti.2024.103331,A. L. Shuvalov,a. l. shuvalov
216,https://doi.org/10.1002/cam4.70466,A. La Rosa,a. la rosa
217,https://doi.org/10.1016/j.ejso.2024.108342,A. Labib,a. labib
218,https://doi.org/10.1016/j.pedn.2022.02.020,A. Labrunie,a. labrunie
219,https://doi.org/10.1016/j.ejogrb.2024.07.013,A. Lacorre,a. lacorre
220,https://doi.org/10.1111/codi.17076,A. Laforest,a. laforest
221,https://doi.org/10.1002/cphc.202200912,A. Lafosse,a. lafosse
222,https://doi.org/10.1111/jsap.13594,A. Lamoureux,a. lamoureux
223,https://doi.org/10.1016/j.immuni.2024.04.018,A. Lamrani,a. lamrani
224,https://doi.org/10.1016/j.annder.2024.103321,A. Lasek‐Duriez,a. lasekduriez
225,https://doi.org/10.1111/jmwh.13421,A. Laurent‐Vannier,a. laurentvannier
226,https://doi.org/10.1016/j.jenvman.2024.120299,A. Le Bihan,a. le bihan
227,https://doi.org/10.1002/cnr2.1993,A. Le Fouler,a. le fouler
228,https://doi.org/10.1002/jvc2.461,A. Le Guern,a. le guern
229,https://doi.org/10.1016/j.epsc.2022.102368,A. Le Mandat,a. le mandat
230,https://doi.org/10.1002/smll.202300972,A. Le Person,a. le person
231,https://doi.org/10.1016/j.rpth.2023.100130,A. Le Querrec,a. le querrec
