,id,display_name,hierarchy_level,parent_publisher
570,https://openalex.org/P4310315505,Pontifical Catholic University of Chile,0.0,
571,https://openalex.org/P4310318515,Coimbra University Press,0.0,
572,https://openalex.org/P4310317257,Wydawnictwo Adam Marszałek,0.0,
573,https://openalex.org/P4320800632,The Japanese Association for Chest Surgery,0.0,
574,https://openalex.org/P4320800656,Oriental Scientific Publishing Company,0.0,
575,https://openalex.org/P4323972781,Japanese Society of Medical Instrumentation,0.0,
576,https://openalex.org/P4310312543,Associação Brasileira de Saúde Coletiva,0.0,
577,https://openalex.org/P4361727475,Computer Application in Sichuan Province,0.0,
578,https://openalex.org/P4310317518,Vilnius Gediminas Technical University,0.0,
579,https://openalex.org/P4310321057,Éditions du Seuil,0.0,
580,https://openalex.org/P4310316033,Gallaudet University Press,0.0,
581,https://openalex.org/P4310318297,ASOS Eğitim Bilişim Danışmanlık,0.0,
582,https://openalex.org/P4310320421,Carl Heymanns Verlag,0.0,
583,https://openalex.org/P4310316113,American Occupational Therapy Association,0.0,
584,https://openalex.org/P4310316185,Society for Sedimentary Geology,0.0,
585,https://openalex.org/P4310321223,Autonomous University of Madrid,0.0,
586,https://openalex.org/P4310313450,Osaka University,0.0,
587,https://openalex.org/P4310312356,Universidade Estadual de Maringá,0.0,
588,https://openalex.org/P4310311776,Royal College of General Practitioners,0.0,
589,https://openalex.org/P4310316423,American Bryological and Lichenological Society,0.0,
590,https://openalex.org/P4383735917,GSC Online Press,0.0,
591,https://openalex.org/P4310320340,UCL Press,0.0,
592,https://openalex.org/P4310315983,Project HOPE,0.0,
593,https://openalex.org/P4310312558,Associação Sul-Rio-Grandense de Pesquisadores em História da Educação (ASPHE),0.0,
594,https://openalex.org/P4320800620,Korean Association For Learner-Centered Curriculum And Instruction,0.0,
595,https://openalex.org/P4361727476,Harbin Coal Mining Machinery,0.0,
596,https://openalex.org/P4310311784,News UK,1.0,News Corp
597,https://openalex.org/P4322633736,Japan Human Factors and Ergonomics Society,0.0,
598,https://openalex.org/P4364118893,Blue Eyes Intelligence Engineering and Sciences Publication,0.0,
599,https://openalex.org/P4310318189,Universidad Nacional del Litoral,0.0,
600,https://openalex.org/P4310314900,Universitas Muhammadiyah Semarang,0.0,
601,https://openalex.org/P4310318246,National University of San Marcos,0.0,
602,https://openalex.org/P4310313016,Pulsus Group,1.0,OMICS Publishing Group
603,https://openalex.org/P4310316290,American Accounting Association,0.0,
604,https://openalex.org/P4310312977,University of Ottawa Press,0.0,
605,https://openalex.org/P4310319663,World Health Organization,1.0,United Nations
606,https://openalex.org/P4310321098,University of Murcia,0.0,
607,https://openalex.org/P4310317460,John Paul II Catholic University of Lublin,0.0,
608,https://openalex.org/P4310321051,De Gruyter Mouton,1.0,De Gruyter
609,https://openalex.org/P4310315941,Society of Biblical Literature,0.0,
610,https://openalex.org/P4323293569,"Japan Society of Physical Education, Health and Sport Sciences",0.0,
611,https://openalex.org/P4310311037,African Field Epidemiology Network,0.0,
612,https://openalex.org/P4322697052,ASIAN PUBLICATION CORPORATION,0.0,
613,https://openalex.org/P4310319430,Korean Society of Radiology,0.0,
614,https://openalex.org/P4323238129,Ess And Ess Research Publications,0.0,
615,https://openalex.org/P4310313689,VDI Fachmedien,0.0,
616,https://openalex.org/P4322616895,Sheridan Books,0.0,
